training data finished
1-th trial
epoch:   1/100, lr: 0.00010, loss(mean):  0.29447 (121s) 
epoch:  46/100, lr: 0.00010, loss(mean):  0.16990 (123s) 
epoch:  47/100, lr: 0.00010, loss(mean):  0.16930 (123s) 
epoch:  48/100, lr: 0.00010, loss(mean):  0.16863 (123s) 
epoch:  49/100, lr: 0.00010, loss(mean):  0.16777 (123s) 
epoch:  50/100, lr: 0.00010, loss(mean):  0.16674 (123s) 
epoch:  51/100, lr: 0.00010, loss(mean):  0.16616 (123s) 
epoch:  52/100, lr: 0.00010, loss(mean):  0.16514 (124s) 
epoch:  53/100, lr: 0.00010, loss(mean):  0.16473 (123s) 
epoch:  54/100, lr: 0.00010, loss(mean):  0.16449 (123s) 
epoch:  55/100, lr: 0.00010, loss(mean):  0.16326 (123s) 
epoch:  56/100, lr: 0.00010, loss(mean):  0.16250 (123s) 
epoch:  57/100, lr: 0.00010, loss(mean):  0.16213 (123s) 
epoch:  58/100, lr: 0.00010, loss(mean):  0.16158 (123s) 
epoch:  59/100, lr: 0.00010, loss(mean):  0.16144 (124s) 
epoch:  60/100, lr: 0.00010, loss(mean):  0.16016 (123s) 
epoch:  61/100, lr: 0.00010, loss(mean):  0.16010 (123s) 
epoch:  62/100, lr: 0.00010, loss(mean):  0.15957 (123s) 
epoch:  63/100, lr: 0.00010, loss(mean):  0.15852 (123s) 
epoch:  64/100, lr: 0.00010, loss(mean):  0.15820 (123s) 
epoch:  65/100, lr: 0.00010, loss(mean):  0.15780 (123s) 
epoch:  66/100, lr: 0.00010, loss(mean):  0.15748 (123s) 
epoch:  67/100, lr: 0.00010, loss(mean):  0.15634 (123s) 
epoch:  68/100, lr: 0.00010, loss(mean):  0.15580 (123s) 
epoch:  69/100, lr: 0.00010, loss(mean):  0.15456 (123s) 
epoch:  70/100, lr: 0.00010, loss(mean):  0.15489 (123s) 
epoch:  71/100, lr: 0.00010, loss(mean):  0.15448 (123s) 
epoch:  72/100, lr: 0.00010, loss(mean):  0.15330 (123s) 
epoch:  73/100, lr: 0.00010, loss(mean):  0.15314 (123s) 
epoch:  74/100, lr: 0.00010, loss(mean):  0.15237 (123s) 
epoch:  75/100, lr: 0.00010, loss(mean):  0.15172 (123s) 
epoch:  76/100, lr: 0.00010, loss(mean):  0.15107 (123s) 
epoch:  77/100, lr: 0.00010, loss(mean):  0.15172 (123s) 
epoch:  78/100, lr: 0.00010, loss(mean):  0.15094 (123s) 
epoch:  79/100, lr: 0.00010, loss(mean):  0.15009 (123s) 
epoch:  80/100, lr: 0.00010, loss(mean):  0.14924 (124s) 
epoch:  81/100, lr: 0.00010, loss(mean):  0.14944 (123s) 
epoch:  82/100, lr: 0.00010, loss(mean):  0.14907 (123s) 
epoch:  83/100, lr: 0.00010, loss(mean):  0.14927 (123s) 
epoch:  84/100, lr: 0.00010, loss(mean):  0.14871 (123s) 
epoch:  85/100, lr: 0.00010, loss(mean):  0.14804 (123s) 
epoch:  86/100, lr: 0.00010, loss(mean):  0.14778 (123s) 
epoch:  87/100, lr: 0.00010, loss(mean):  0.14652 (123s) 
epoch:  88/100, lr: 0.00010, loss(mean):  0.14731 (123s) 
epoch:  89/100, lr: 0.00010, loss(mean):  0.14624 (123s) 
epoch:  90/100, lr: 0.00010, loss(mean):  0.14657 (123s) 
epoch:  91/100, lr: 0.00010, loss(mean):  0.14658 (123s) 
epoch:  92/100, lr: 0.00010, loss(mean):  0.14545 (123s) 
epoch:  93/100, lr: 0.00010, loss(mean):  0.14506 (123s) 
epoch:  94/100, lr: 0.00010, loss(mean):  0.14448 (123s) 
epoch:  95/100, lr: 0.00010, loss(mean):  0.14351 (123s) 
epoch:  96/100, lr: 0.00010, loss(mean):  0.14387 (123s) 
epoch:  97/100, lr: 0.00010, loss(mean):  0.14433 (123s) 
epoch:  98/100, lr: 0.00010, loss(mean):  0.14323 (123s) 
epoch:  99/100, lr: 0.00010, loss(mean):  0.14287 (123s) 
epoch: 100/100, lr: 0.00010, loss(mean):  0.14301 (127s) 
WARNING:root:Setting up a new session...
original
loss(min): 0.14287
loss(last): 0.14424
